Country Name,Country Code,Series Name,Series Code,2020 [YR2020],2050 [YR2050]
Faroe Islands,FRO,"Population, total",SP.POP.TOTL,49000,53000
Fiji,FJI,"Population, total",SP.POP.TOTL,896000,1071000
Finland,FIN,"Population, total",SP.POP.TOTL,5548000,5701000
Fragile and conflict affected situations,FCS,"Population, total",SP.POP.TOTL,538961000,972956000
France,FRA,"Population, total",SP.POP.TOTL,67443000,71882000
French Polynesia,PYF,"Population, total",SP.POP.TOTL,281000,311000
Gabon,GAB,"Population, total",SP.POP.TOTL,2226000,3809000
"Gambia, The",GMB,"Population, total",SP.POP.TOTL,2417000,4882000
Georgia,GEO,"Population, total",SP.POP.TOTL,3711000,3203000
Germany,DEU,"Population, total",SP.POP.TOTL,82678000,76474000
Ghana,GHA,"Population, total",SP.POP.TOTL,31073000,52016000
Gibraltar,GIB,"Population, total",SP.POP.TOTL,34000,34000
Greece,GRC,"Population, total",SP.POP.TOTL,10665000,9536000
Greenland,GRL,"Population, total",SP.POP.TOTL,0,0
Grenada,GRD,"Population, total",SP.POP.TOTL,113000,116000
Guam,GUM,"Population, total",SP.POP.TOTL,169000,193000
Guatemala,GTM,"Population, total",SP.POP.TOTL,17916000,26921000
Guinea,GIN,"Population, total",SP.POP.TOTL,13133000,25972000
Guinea-Bissau,GNB,"Population, total",SP.POP.TOTL,1968000,3557000
Guyana,GUY,"Population, total",SP.POP.TOTL,787000,825000
Haiti,HTI,"Population, total",SP.POP.TOTL,11403000,14878000
Heavily indebted poor countries (HIPC),HPC,"Population, total",SP.POP.TOTL,823482000,1604507000
High income,HIC,"Population, total",SP.POP.TOTL,1219876000,1285014000
Honduras,HND,"Population, total",SP.POP.TOTL,9905000,13831000
"Hong Kong SAR, China",HKG,"Population, total",SP.POP.TOTL,7564000,8124000
Hungary,HUN,"Population, total",SP.POP.TOTL,9695000,8326000
Iceland,ISL,"Population, total",SP.POP.TOTL,359000,404000
India,IND,"Population, total",SP.POP.TOTL,1380004000,1639176000
Indonesia,IDN,"Population, total",SP.POP.TOTL,273524000,330905000
"Iran, Islamic Rep.",IRN,"Population, total",SP.POP.TOTL,83993000,103098000
Iraq,IRQ,"Population, total",SP.POP.TOTL,40222000,70940000
Ireland,IRL,"Population, total",SP.POP.TOTL,4933000,5825000
Isle of Man,IMN,"Population, total",SP.POP.TOTL,85000,91000
Israel,ISR,"Population, total",SP.POP.TOTL,9152000,13160000
Italy,ITA,"Population, total",SP.POP.TOTL,60250000,55782000
Jamaica,JAM,"Population, total",SP.POP.TOTL,2961000,2960000
Japan,JPN,"Population, total",SP.POP.TOTL,125661000,107810000
Jordan,JOR,"Population, total",SP.POP.TOTL,10203000,12932000
Kazakhstan,KAZ,"Population, total",SP.POP.TOTL,18654000,22791000
Kenya,KEN,"Population, total",SP.POP.TOTL,53771000,91575000
Kiribati,KIR,"Population, total",SP.POP.TOTL,119000,177000
"Korea, Dem. People’s Rep.",PRK,"Population, total",SP.POP.TOTL,25779000,26562000
"Korea, Rep.",KOR,"Population, total",SP.POP.TOTL,51922000,50121000
Kosovo,XKX,"Population, total",SP.POP.TOTL,1870000,2150000
Kuwait,KWT,"Population, total",SP.POP.TOTL,4271000,5393000
Kyrgyz Republic,KGZ,"Population, total",SP.POP.TOTL,6489000,8412000
